Status,           Sample ID       ,Sample Volume (ml),Internal standard volume (ul),Calculated Conc,Sample Conc
U,295,2,40,11.938,1.193774004
U,121,2,40,11.902,1.190248956
U,43,2,40,11.89,1.189049031
U,12,2,20,11.768,0.588415253
U,26,2,40,11.655,1.165529436
U,238,2,40,11.544,1.154412489
U,120,2,40,11.412,1.141173962
U,264,2,40,11.366,1.136648486
U,311,2,40,11.143,1.114261429
U,2,2,20,11.123,0.556166816
U,8,2,20,11.081,0.554037896
U,66,2,40,10.801,1.080146016
U,213,2,40,10.801,1.080135479
U,118,2,40,10.611,1.061149144
U,245,2,40,10.601,1.060098305
U,153,2,40,10.552,1.055232962
U,7,2,20,10.541,0.527030108
U,229,2,40,10.51,1.050955463
U,312,2,40,10.468,1.046782826
U,320,2,40,10.277,1.027726542
U,323,2,40,10.272,1.027152876
U,310,2,40,10.132,1.013199757
U,135,2,40,9.918,0.99177179
RR,161,2,40,9.87,0.987016443
R,86,1,40,9.764,1.952884575
R,96,1,40,9.414,1.882772984
U,331,2,40,9.391,0.939071687
R,69,1,40,9.25,1.850012497
U,244,2,40,9.216,0.92161749
U,318,2,40,9.199,0.919885997
U,152,2,40,9.018,0.901781064
U,163,2,40,8.968,0.896754469
U,72,2,40,8.948,0.894779087
U,133,2,40,8.92,0.892035872
U,227,2,40,8.868,0.886806818
U,322,2,40,8.85,0.885045534
U,286,2,40,8.814,0.881390521
U,212,2,40,8.752,0.875167512
U,58,2,40,8.677,0.867706057
U,19,2,20,8.664,0.433196886
U,134,2,40,8.608,0.860760939
U,166,2,40,8.605,0.860511872
U,130,2,40,8.589,0.858935659
U,258,2,40,8.298,0.829768255
U,219,2,40,8.242,0.824203001
U,18,2,20,8.207,0.410367048
U,27,2,40,8.165,0.816531686
U,329,2,40,8.102,0.810211561
U,222,2,40,7.816,0.781615235
U,85,2,40,7.78,0.778040741
U,305,2,40,7.656,0.765564828
U,99,2,40,7.607,0.760678033
U,319,2,40,7.53,0.752950857
U,277,2,40,7.49,0.748954612
U,177,2,40,7.466,0.746638336
U,94,2,40,7.443,0.744279584
U,208,2,40,7.26,0.725995189
U,225,2,40,7.198,0.719779766
U,111,2,40,7.084,0.70844372
U,216,2,40,7.019,0.701930496
U,293,2,40,7.011,0.701134393
U,240,2,40,6.992,0.699235757
U,3,2,20,6.934,0.346702951
U,306,2,40,6.9,0.69003771
U,176,2,40,6.896,0.689649506
R,35,1,40,6.73,1.346039437
U,24,2,40,6.684,0.668447079
U,175,2,40,6.672,0.667230255
U,179,2,40,6.65,0.665030477
U,20,2,20,6.628,0.331410495
U,41,2,40,6.591,0.659135082
U,301,2,40,6.29,0.629027466
U,226,2,40,6.238,0.623793708
U,242,2,40,6.202,0.620183538
U,281,2,40,6.177,0.617652293
U,131,2,40,6.052,0.605162671
U,209,2,40,6.035,0.603516212
U,299,2,40,6.034,0.603423351
U,171,2,40,5.97,0.596967176
U,279,2,40,5.939,0.593851807
U,252,2,40,5.914,0.591447815
U,29,2,40,5.893,0.58926313
U,52,2,40,5.793,0.579280942
